country_name,country_code
APO/FPO,UNK
Abkhazia,GEO
Adjara,GEO
Akrotiri and Dhekelia,UNK
Ascension Island,UNK
Bolivia,BOL
Brunei,BRN
Cape Verde,CPV
Cocos [Keeling] Islands,CCK
Curacao,CUW
Czech Republic,CZE
Democratic Republic of the Congo,COG
East Timor,TLS
England,GBR
Falkland Islands,FLK
Iran,IRN
Macedonia,MKD
Myanmar [Burma],MMR
Nagorno-Karabakh,AZE
Netherlands Antilles,NLD
North Korea,PRK
Other-Asia,UNK
Other-Eastern Europe,UNK
Other-Middle East,UNK
Other-South Pacific,UNK
Pitcairn Islands,PCN
Republic of the Congo,COG
Russia,RUS
Saint Barth�lemy,BLM
Scotland,GBR
South Korea,KOR
Swaziland,SWZ
Syria,SYR
Tristan da Cunha,UNK
U.S. Minor Outlying Islands,UMI
U.S. Virgin Islands,VIR
United Kingdom,GBR
United States,USA
Vatican City,VAT
Venezuela,VEN
Vietnam,VNM
Wales,GBR
Åland,ALA
